"diploma_id","kind","hebrew_title","title","subtitle","detail","brand","placeholder_name","image_hint"
"unit-alefato","unit","כָּל הַכָּבוֹד","Unidad completada","Unidad 1 · El alefato","Completó todas las lecciones del alefato","Ulpan con la Mora Maggie","[Nombre del talmid]","diploma-unit"
"unit-palabras","unit","כָּל הַכָּבוֹד","Unidad completada","Unidad 2 · Primeras palabras","Completó el léxico inicial","Ulpan con la Mora Maggie","[Nombre del talmid]","diploma-unit"
"unit-gramatica","unit","כָּל הַכָּבוֹד","Unidad completada","Unidad 3 · Gramática","Completó la gramática básica","Ulpan con la Mora Maggie","[Nombre del talmid]","diploma-unit"
"unit-frases","unit","כָּל הַכָּבוֹד","Unidad completada","Unidad 4 · Frases útiles","Completó frases de la calle y el café","Ulpan con la Mora Maggie","[Nombre del talmid]","diploma-unit"
"unit-sionismo","unit","כָּל הַכָּבוֹד","Unidad completada","Unidad 5 · Sionismo","Completó el léxico sionista","Ulpan con la Mora Maggie","[Nombre del talmid]","diploma-unit"
"unit-calendario","unit","כָּל הַכָּבוֹד","Unidad completada","Unidad 6 · Calendario sionista","Completó el calendario nacional","Ulpan con la Mora Maggie","[Nombre del talmid]","diploma-unit"
"streak-3","streak","יָפֶה מְאֹד","Racha de 3 días","Estudio constante","3 días seguidos de práctica","Ulpan con la Mora Maggie","[Nombre del talmid]","diploma-streak"
"streak-7","streak","יָפֶה מְאֹד","Racha de 7 días","Estudio constante","Una semana de racha","Ulpan con la Mora Maggie","[Nombre del talmid]","diploma-streak"
"streak-14","streak","יָפֶה מְאֹד","Racha de 14 días","Estudio constante","Dos semanas de racha","Ulpan con la Mora Maggie","[Nombre del talmid]","diploma-streak"
"streak-30","streak","יָפֶה מְאֹד","Racha de 30 días","Estudio constante","Un mes de racha","Ulpan con la Mora Maggie","[Nombre del talmid]","diploma-streak"
"lessons-5","lessons","כָּל הַבְּרָכוֹת","5 lecciones","Camino del Ulpan","Primeras 5 lecciones completadas","Ulpan con la Mora Maggie","[Nombre del talmid]","diploma-lessons"
"lessons-10","lessons","כָּל הַבְּרָכוֹת","10 lecciones","Camino del Ulpan","10 lecciones completadas","Ulpan con la Mora Maggie","[Nombre del talmid]","diploma-lessons"
"lessons-20","lessons","כָּל הַבְּרָכוֹת","20 lecciones","Camino del Ulpan","20 lecciones completadas","Ulpan con la Mora Maggie","[Nombre del talmid]","diploma-lessons"
